noun,lexicon,form
pater,acer/acris/acre,acer
pater,ferox/ferocis,ferox
pater,magnus/magna/magnum,magnus
pater,tantus/tanta/tantum,tantus
pater,omnis/omne,omnis
pater,unus/una/unum,unus
patris,acer/acris/acre,acris
patris,ferox/ferocis,ferocis
patris,magnus/magna/magnum,magni
patris,tantus/tanta/tantum,tanti
patris,omnis/omne,omnis
patris,unus/una/unum,unius
patres,acer/acris/acre,acres
patres,ferox/ferocis,feroces
patres,magnus/magna/magnum,magni
patres,tantus/tanta/tantum,tanti
patres,omnis/omne,omnes
patrum,acer/acris/acre,acrium
patrum,ferox/ferocis,ferocium
patrum,magnus/magna/magnum,magnorum
patrum,tantus/tanta/tantum,tantorum
patrum,omnis/omne,omnium
conjugium,acer/acris/acre,acre
conjugium,ferox/ferocis,ferox
conjugium,magnus/magna/magnum,magnum
conjugium,tantus/tanta/tantum,tantum
conjugium,omnis/omne,omne
conjugium,unus/una/unum,unum
conjugii,acer/acris/acre,acris
conjugii,ferox/ferocis,ferocis
conjugii,magnus/magna/magnum,magni
conjugii,tantus/tanta/tantum,tanti
conjugii,omnis/omne,omnis
conjugii,unus/una/unum,unius
conjugia,acer/acris/acre,acria
conjugia,ferox/ferocis,ferocia
conjugia,magnus/magna/magnum,magna
conjugia,tantus/tanta/tantum,tanta
conjugia,omnis/omne,omnia
conjugiorum,acer/acris/acre,acrium
conjugiorum,ferox/ferocis,ferocium
conjugiorum,magnus/magna/magnum,magnorum
conjugiorum,tantus/tanta/tantum,tantorum
conjugiorum,omnis/omne,omnium
sagitta,acer/acris/acre,acris
sagitta,ferox/ferocis,ferox
sagitta,magnus/magna/magnum,magna
sagitta,tantus/tanta/tantum,tanta
sagitta,omnis/omne,omnis
sagitta,unus/una/unum,una
sagittae (gen sg),acer/acris/acre,acris
sagittae (gen sg),ferox/ferocis,ferocis
sagittae (gen sg),magnus/magna/magnum,magnae
sagittae (gen sg),tantus/tanta/tantum,tantae
sagittae (gen sg),omnis/omne,omnis
sagittae (gen sg),unus/una/unum,unius
sagittae (nom pl),acer/acris/acre,acres
sagittae (nom pl),ferox/ferocis,feroces
sagittae (nom pl),magnus/magna/magnum,magnae
sagittae (nom pl),tantus/tanta/tantum,tantae
sagittae (nom pl),omnis/omne,omnes
sagittarum,acer/acris/acre,acrium
sagittarum,ferox/ferocis,ferocium
sagittarum,magnus/magna/magnum,magnarum
sagittarum,tantus/tanta/tantum,tantarum
sagittarum,omnis/omne,omnium
