substantive,nom sg,gen sg,dat sg,acc ag,abl sg,nom pl,gen pl,dat pl,acc pl,abl pl
magna uxor,magna uxor,magnae uxoris,magnae uxori,magnam uxorem,magna uxore,magnae uxores,magnarum uxorum,magnis uxoribus,magnas uxores,magnis uxoribus
tantus hospes,tantus hospes,tanti hospitis,tanto hospiti,tantum hospitem,tanto hospite,tanti hospites,tantorum hospitum,tantis hospitibus,tantos hospites,tantis hospitibu
sacrum nomen,sacrum nomen,sacri nominis,sacro nomini,sacrum nomen,sacro nomine,sacra nomina,sacrorum nominorum,sacris nominibus,sacra nomen,sacris nominibus
omnis deus,omnis deus,omnis dei,omni deo,omnem deum,omni deo,omnes dei,omnium deorum,omnibus deis,omnes deos,omnibus deis
acris sagitta,acris sagitta,acris sagittae,acri sagittae,acrem sagittam,acri sagitta,acres sagittae,acrium sagittarum,acribus sagittis,acres sagittas,acribus sagittis
ferox terra,ferox terra,ferocis terrae,feroci terrae,ferocem terram,feroci terra,feroces terrae,ferocium terrarum,ferocibus terris,fercoes terras,ferocibus terris
suum fulmen,suum fulmen,sui fulminis,suo fulmini,suum fulmen,suo fulmine,sua fulmina,suorum fulminum,suis fulminibus,sua fulmina,suis fulminibus
prima nox,prima nox,primae noctis,primae nocti,primam noctem,prima nocte,primae noctes,primarum noctum,primis noctibus,primas noctes,primis noctibus
regius homo,regius homo,regii hominis,regio homini,regium hominem,regio homine,regii homines,regiorum hominum,regiis hominibus,regios homines,regiis hominibus
ceterus rex,ceterus rex,ceteri regis,cetero regi,ceterum regem,cetero rege,ceteri reges,ceterorum regum,ceteris regibus,ceteros reges,ceteris regibus
mortalis nympha,mortalis nympha,mortalis nymphae,mortali nymphae,mortalem nympham,mortale nympha,mortales nymphae,mortalium nympharum,mortalibus nymphis,mortales nymphas,mortalibus nymphis
