verb,3rd pl present active subjunctive,3rd pl present passive subjunctive,3rd pl imperfect active subjunctive,3rd pl imperfect passive subjunctive,3rd pl perfect active subjunctive,3rd pl perfect passive subjunctive,3rd pl pluperfect active subjunctive,3rd pl pluperfect passive subjunctive
concumbo/concumbĕre/concubui/concubitus,concumbeant,concumbeantur,concumberent,concumberentur,concubuerint,concubiti sint,concubuissent,concubiti essent
cogito/cogitare/cogitavi/cogitatus,cogitent,cogitentur,cogitarent,cogitarentur,cogitaverint,cogitati sint,cogitavissent,cogitati essent
cresco/crescĕre/crevi/cretus,crescant,crescantur,crescerent,crescerentur,creverint,creti sint, crevissent,creti essent
imperō/imperāre/imperāvī/imperatus,imperent,imperentur,imperarent,imperarentur,imperaverint,imperati sint,imperavissent,imperati essent
audio/audire/audivi/auditus,audiant,audiantur,audirent,audirentur,audiverint,auditi sint,audivissent,auditi essent
moneo/monere/monui/monitus,moneant,moneantur,monerent,monerentur,monuerint,moniti sint,monuissent,moniti essent
nego/negare/negavi/negatus,negent,negentur,negarent,negarentur,negaverint,negati sint,negavissent,negati essent
do/dare/dedi/datus,dent,dentur,darent,darentur,dederint,dati sint,dedissent,dati essent
rego/regere/rexi/rectus,regant,regantur,regerent,regerentur,rexerint,recti sint,rexissent,recti essent
servo/servare/servavi/servatus,servent,serventur,servarent,servarentur,servaverint,servati sint,servavissent,servati essent
occido/occidĕre/occidi/occisus,occidant,occidantur,occiderent,occiderentur,occiderint,occisi sint,occidissent,occisi essent
peto/petĕre/petivi/petitus,petant,petantur,peterent,peterentur,petiverint,petiti sint,petivissent,petiti essent
interficio/interficere/interfeci/interfectus,interficiant,interficiantur,interficerent,interficerentur,interfecerint,interfecti sint,interfecissent,interfecti essent
video/videre/vidi/visus,videant,videantur,viderent,viderentur,viderint,visi sint,vidissent,visi essent
venio/venire/veni/ventus,veniant,veniantur,venirent,venirentur,venerint,venti sint,venissent,venti essent
