verb,3rd sg pres act ind,3rd sg pres pass ind,3rd sg fut act ind,3rd sg fut pass
concumbo/concumbĕre/concubui/concubitus,concumbit,concumbitur,concumbet,concumbetur
cresco/crescĕre/crevi/cretus,crescit,crescitur,crescet,crescetur
audio/audire/audivi/auditus,audit,auditur,audiet,audietur
moneo/monere/monui/monitus,monet,monetur,monebit,monebitur
do/dare/dedi/datus,dat,datur,dabit,dabitur
rego/regere/rexi/rectus,regit,regitur,reget,regetur
servo/servare/servavi/servatus,servat,servatur,servabit,servabitur
occido/occidĕre/occidi/occisus,occidit,occiditur,occidet,occidetur
peto/petĕre/petivi/petitus,petit,petitur,petet,petetur
interficio/interficere/interfeci/interfectus,interficit,interficitur,interficiet,interficietur
venio/venire/veni/ventus,venit,venitur,veniet,venietur
